experiment_key,date,lot,wafer,status,gas5_edges,cycle_score,offset,correlation,input_min,input_max,target,reason
2024-07-02_01,2024-07-02,1,1,PASS,101,0.00816326481955392,0.25,-0.7768589008806865,13.567641258239746,3937.839599609375,40.81700134277344,
2024-07-02_02,2024-07-02,1,2,PASS,101,0.008163267252396564,0.15000000000000002,-0.7702512407265173,12.948530197143555,3697.682373046875,40.61420440673828,
2024-07-02_03,2024-07-02,1,3,PASS,101,0.00816326481955392,0.2,-0.7715548053776647,12.566606521606445,3775.27587890625,40.762168884277344,
2024-07-02_04,2024-07-02,1,4,PASS,101,0.008163267252396564,0.15000000000000002,-0.7692314727061407,13.832818031311035,3794.643310546875,40.51966857910156,
2024-07-02_05,2024-07-02,1,5,PASS,101,0.00816326481955392,0.2,-0.7686705173918843,11.873023986816406,3645.58447265625,40.10752487182617,
2024-07-02_06,2024-07-02,1,6,PASS,101,0.008163267252396564,0.15000000000000002,-0.7667883033374089,13.654550552368164,3748.76318359375,40.26415252685547,
2024-07-02_07,2024-07-02,1,7,PASS,101,0.00816326481955392,0.15000000000000002,-0.7697968566579456,12.31350040435791,3750.345947265625,40.13124465942383,
2024-07-02_08,2024-07-02,1,8,PASS,101,0.00816326481955392,0.15000000000000002,-0.7680225755432056,14.34360408782959,3551.1279296875,39.79420852661133,
2024-07-02_09,2024-07-02,1,9,PASS,101,0.00816326481955392,0.15000000000000002,-0.7686893239025481,13.878972053527832,3673.343505859375,40.05729675292969,
2024-07-02_10,2024-07-02,1,10,PASS,101,0.00816326481955392,0.2,-0.7684782490002269,12.533394813537598,3638.965576171875,40.0114860534668,
2024-07-05_01,2024-07-05,2,1,PASS,101,0.00816326481955392,0.2,-0.7773253743668307,12.54983139038086,3811.103759765625,40.677555084228516,
2024-07-05_02,2024-07-05,2,2,PASS,101,0.008163267252396564,0.1,-0.7743465305103014,13.655393600463867,3813.987060546875,40.7486686706543,
2024-07-05_03,2024-07-05,2,3,PASS,101,0.00816326481955392,0.15000000000000002,-0.7666858400593417,14.064133644104004,3797.12158203125,40.557586669921875,
2024-07-05_04,2024-07-05,2,4,PASS,101,0.009999997761784767,0.15000000000000002,-0.7672843908305808,13.334303855895996,3616.75,40.09654235839844,
2024-07-05_05,2024-07-05,2,5,PASS,101,0.00816326481955392,0.2,-0.7654052498616294,14.145058631896973,3772.808349609375,40.220035552978516,
2024-07-05_06,2024-07-05,2,6,PASS,101,0.012244898445752203,0.2,-0.7672825824341154,12.054194450378418,3720.976806640625,40.10883331298828,
2024-07-05_07,2024-07-05,2,7,PASS,101,0.008163267252396564,0.15000000000000002,-0.7640068475409733,12.862079620361328,3640.42138671875,39.99401092529297,
2024-07-05_08,2024-07-05,2,8,PASS,101,0.008265305538566746,0.15000000000000002,-0.7630535522298469,13.708069801330566,3478.389404296875,39.68669891357422,
2024-07-05_09,2024-07-05,2,9,PASS,101,0.008163267252396564,0.2,-0.7610415519331232,14.104350090026855,3507.5458984375,39.896785736083984,
2024-07-05_10,2024-07-05,2,10,PASS,101,0.00816326481955392,0.25,-0.7628909884683344,13.392419815063477,3581.156005859375,39.84101104736328,
2024-07-09_01,2024-07-09,3,1,PASS,101,0.016020419646282584,0.2,-0.7711905450073793,14.47044563293457,3708.654052734375,40.72431945800781,
2024-07-09_02,2024-07-09,3,2,PASS,101,0.00816326481955392,0.2,-0.7666591989101218,14.231687545776367,3597.83203125,40.55747985839844,
2024-07-09_03,2024-07-09,3,3,PASS,101,0.008163267252396564,0.2,-0.7718777192983932,14.515298843383789,3738.889404296875,40.692054748535156,
2024-07-09_04,2024-07-09,3,4,PASS,101,0.00816326481955392,0.2,-0.7705224723184245,13.125384330749512,3681.518798828125,40.53011703491211,
2024-07-09_05,2024-07-09,3,5,PASS,100,0.009795916323759118,0.2,-0.7424768048833735,13.310175895690918,3437.505859375,40.46855163574219,
2024-07-09_06,2024-07-09,3,6,PASS,101,0.00816326481955392,0.2,-0.766868779724217,13.112223625183105,3555.111328125,40.21882247924805,
2024-07-09_07,2024-07-09,3,7,PASS,101,0.00816326481955392,0.1,-0.7626001753253699,12.871770858764648,3558.130859375,40.11726379394531,
2024-07-09_08,2024-07-09,3,8,PASS,101,0.00816326481955392,0.15000000000000002,-0.7652621060319051,13.264974594116211,3552.415283203125,40.05622482299805,
2024-07-09_09,2024-07-09,3,9,PASS,101,0.012653056456118214,0.2,-0.7620150451460855,13.080263137817383,3576.136474609375,39.988834381103516,
2024-07-09_10,2024-07-09,3,10,PASS,102,0.02030612497913594,0.15000000000000002,-0.6789812374615498,14.109954833984375,3599.087646484375,39.584266662597656,
2024-07-11_01,2024-07-11,4,1,PASS,101,0.00816326481955392,0.2,-0.7679116817738414,12.770040512084961,3620.10302734375,40.72855758666992,
2024-07-11_02,2024-07-11,4,2,PASS,101,0.00816326481955392,0.1,-0.7683547579868766,13.663413047790527,3698.308837890625,40.792388916015625,
2024-07-11_03,2024-07-11,4,3,PASS,100,0.00816326481955392,0.2,-0.7389860100319467,14.294445991516113,3552.04931640625,40.797874450683594,
2024-07-11_04,2024-07-11,4,4,PASS,101,0.008163267252396564,0.2,-0.7640494988220485,12.552469253540039,3621.413330078125,40.47509765625,
2024-07-11_05,2024-07-11,4,5,PASS,100,0.00816326481955392,0.2,-0.7453369561713208,11.478970527648926,3385.411376953125,40.465599060058594,
2024-07-11_06,2024-07-11,4,6,PASS,101,0.00816326481955392,0.2,-0.7622873023878399,12.61354923248291,3501.962646484375,40.2304801940918,
2024-07-11_07,2024-07-11,4,7,PASS,101,0.008163267252396564,0.2,-0.7626586209442395,13.438605308532715,3374.197021484375,39.834144592285156,
2024-07-11_08,2024-07-11,4,8,PASS,101,0.008163267252396564,0.25,-0.7586304259252514,14.915823936462402,3378.05810546875,39.78094482421875,
2024-07-11_09,2024-07-11,4,9,PASS,102,0.02846938250016193,0.2,-0.6844722744988208,14.19115924835205,3525.2236328125,39.55440139770508,
2024-07-11_10,2024-07-11,4,10,PASS,100,0.00816326481955392,0.15000000000000002,-0.737511417124156,13.804091453552246,3404.794189453125,40.05142593383789,
2024-07-19_01,2024-07-19,5,1,PASS,100,0.012244900878594846,0.2,-0.7463255662620766,12.579341888427734,3547.609619140625,40.706077575683594,
2024-07-19_02,2024-07-19,5,2,PASS,102,0.02448979445866176,0.2,-0.6870043564563901,13.781439781188965,3508.257080078125,40.20539855957031,
2024-07-19_03,2024-07-19,5,3,PASS,101,0.00816326481955392,0.2,-0.76344707492429,13.13705062866211,3563.946044921875,40.3841552734375,
2024-07-19_04,2024-07-19,5,4,PASS,101,0.00816326481955392,0.15000000000000002,-0.7588851042255397,12.379338264465332,3408.469970703125,39.94258499145508,
2024-07-19_05,2024-07-19,5,5,PASS,101,0.00816326481955392,0.2,-0.7599129033667006,12.251959800720215,3505.46337890625,40.142032623291016,
2024-07-19_06,2024-07-19,5,6,PASS,101,0.008163267252396564,0.15000000000000002,-0.7551322268099946,13.175447463989258,3517.26904296875,40.0095329284668,
2024-07-19_07,2024-07-19,5,7,PASS,101,0.008163267252396564,0.15000000000000002,-0.7630152044145241,12.786725997924805,3465.9609375,39.89673614501953,
2024-07-19_08,2024-07-19,5,8,PASS,101,0.014387748679336237,0.2,-0.7589151356512304,10.419193267822266,3442.98779296875,39.853790283203125,
2024-07-19_09,2024-07-19,5,9,PASS,100,0.00816326481955392,0.2,-0.7325168240980172,12.838362693786621,3395.61962890625,39.914520263671875,
2024-07-19_10,2024-07-19,5,10,PASS,101,0.00816326481955392,0.15000000000000002,-0.7530961643530327,13.068639755249023,3415.2763671875,39.7074089050293,
2024-08-01_01,2024-08-01,6,1,PASS,101,0.00816326481955392,0.15000000000000002,-0.7564532308612697,13.941418647766113,3250.686279296875,40.30677795410156,
2024-08-01_02,2024-08-01,6,2,PASS,101,0.012244900878594846,0.2,-0.7602361145665399,14.67863655090332,3381.800048828125,40.68321228027344,
2024-08-01_03,2024-08-01,6,3,PASS,101,0.00816326481955392,0.2,-0.757319465256815,13.547196388244629,3485.119140625,40.59878921508789,
2024-08-01_04,2024-08-01,6,4,PASS,101,0.00816326481955392,0.15000000000000002,-0.7513177733638393,13.05098819732666,3424.242431640625,40.43443298339844,
2024-08-01_05,2024-08-01,6,5,PASS,101,0.00816326481955392,0.2,-0.7520089045609466,13.517325401306152,3304.56787109375,40.266746520996094,
2024-08-01_06,2024-08-01,6,6,PASS,101,0.00816326481955392,0.25,-0.7486199715937591,12.72187614440918,3100.536865234375,39.847900390625,
2024-08-01_07,2024-08-01,6,7,PASS,101,0.00816326481955392,0.2,-0.7480079682743189,14.82096004486084,3134.515625,39.75341033935547,
2024-08-01_08,2024-08-01,6,8,PASS,101,0.008163267252396564,0.25,-0.751665147483649,13.816092491149902,3189.0341796875,39.9366340637207,
2024-08-01_09,2024-08-01,6,9,PASS,101,0.008163267252396564,0.2,-0.744944065650464,13.326369285583496,3245.413330078125,39.84342956542969,
2024-08-01_10,2024-08-01,6,10,PASS,101,0.00816326481955392,0.25,-0.7429641392866306,14.297856330871582,3261.593505859375,39.80339813232422,
2024-08-05_01,2024-08-05,7,1,PASS,101,0.00816326481955392,0.2,-0.7575263484731237,14.067123413085938,3355.31005859375,40.29888916015625,
2024-08-05_02,2024-08-05,7,2,PASS,101,0.014591830117361886,0.2,-0.7577082153052278,14.186161994934082,3392.448486328125,40.59385681152344,
2024-08-05_03,2024-08-05,7,3,PASS,101,0.008163267252396564,0.15000000000000002,-0.7528484183920948,13.357010841369629,3290.786376953125,40.25551986694336,
2024-08-05_04,2024-08-05,7,4,PASS,101,0.00816326481955392,0.2,-0.7489729307847081,13.97530460357666,3422.236083984375,40.30519104003906,
2024-08-05_05,2024-08-05,7,5,PASS,101,0.00816326481955392,0.25,-0.7512062870083372,12.61812686920166,3298.47119140625,40.135799407958984,
2024-08-21_01,2024-08-21,9,1,PASS,101,0.01020408163265306,0.2,-0.7743317002271497,14.301753044128418,3542.814697265625,40.72425842285156,
2024-08-21_02,2024-08-21,9,2,PASS,101,0.00816326481955392,0.15000000000000002,-0.768177081592798,13.774117469787598,3587.965576171875,40.80895233154297,
2024-08-21_03,2024-08-21,9,3,PASS,101,0.00816326481955392,0.15000000000000002,-0.7703419928638081,13.910634994506836,3530.209716796875,40.658931732177734,
2024-08-21_04,2024-08-21,9,4,PASS,101,0.008163267252396564,0.2,-0.7656948092051494,11.608470916748047,3494.6943359375,40.47877502441406,
2024-08-21_05,2024-08-21,9,5,PASS,101,0.012244900878594846,0.15000000000000002,-0.7642543363021017,13.421284675598145,3500.91455078125,40.31874465942383,
2024-08-21_06,2024-08-21,9,6,PASS,101,0.00816326481955392,0.25,-0.7635713941279508,13.307272911071777,3301.099609375,39.933712005615234,
2024-08-21_07,2024-08-21,9,7,PASS,101,0.00816326481955392,0.15000000000000002,-0.7605431246828306,12.816905975341797,3424.388916015625,40.09238052368164,
2024-08-21_08,2024-08-21,9,8,PASS,101,0.014591830117361886,0.15000000000000002,-0.7599756798701103,12.815248489379883,3386.3125,40.023033142089844,
2024-08-21_09,2024-08-21,9,9,PASS,100,0.00816326481955392,0.15000000000000002,-0.7414877062177325,14.492020606994629,3259.80908203125,40.109291076660156,
2024-08-21_10,2024-08-21,9,10,PASS,101,0.013877545084272112,0.2,-0.7602906808012047,13.27153205871582,3372.00830078125,39.9543571472168,
