experiment_key,date,lot,wafer,points,valid_si,mean_si_etch,usable
2024-07-02_01,2024-07-02,1,1,9,9,40.817,True
2024-07-02_02,2024-07-02,1,2,9,9,40.6142,True
2024-07-02_03,2024-07-02,1,3,9,9,40.762166666666666,True
2024-07-02_04,2024-07-02,1,4,9,9,40.519666666666666,True
2024-07-02_05,2024-07-02,1,5,9,9,40.10752222222223,True
2024-07-02_06,2024-07-02,1,6,9,9,40.26415555555556,True
2024-07-02_07,2024-07-02,1,7,9,9,40.13124444444444,True
2024-07-02_08,2024-07-02,1,8,9,9,39.79421111111111,True
2024-07-02_09,2024-07-02,1,9,9,9,40.0573,True
2024-07-02_10,2024-07-02,1,10,9,9,40.011488888888884,True
2024-07-05_01,2024-07-05,2,1,9,9,40.67755555555556,True
2024-07-05_02,2024-07-05,2,2,9,9,40.748666666666665,True
2024-07-05_03,2024-07-05,2,3,9,9,40.55758888888889,True
2024-07-05_04,2024-07-05,2,4,9,9,40.09654444444445,True
2024-07-05_05,2024-07-05,2,5,9,9,40.22003333333333,True
2024-07-05_06,2024-07-05,2,6,9,9,40.10883333333334,True
2024-07-05_07,2024-07-05,2,7,9,9,39.994011111111114,True
2024-07-05_08,2024-07-05,2,8,9,9,39.686699999999995,True
2024-07-05_09,2024-07-05,2,9,9,9,39.89678888888889,True
2024-07-05_10,2024-07-05,2,10,9,9,39.84101111111111,True
2024-07-09_01,2024-07-09,3,1,9,9,40.72432222222223,True
2024-07-09_02,2024-07-09,3,2,9,9,40.55747777777778,True
2024-07-09_03,2024-07-09,3,3,9,9,40.692055555555555,True
2024-07-09_04,2024-07-09,3,4,9,9,40.530122222222225,True
2024-07-09_05,2024-07-09,3,5,9,9,40.46855555555556,True
2024-07-09_06,2024-07-09,3,6,9,9,40.21882222222222,True
2024-07-09_07,2024-07-09,3,7,9,9,40.117266666666666,True
2024-07-09_08,2024-07-09,3,8,9,9,40.05622222222222,True
2024-07-09_09,2024-07-09,3,9,9,9,39.98883333333333,True
2024-07-09_10,2024-07-09,3,10,9,9,39.58426666666667,True
2024-07-11_01,2024-07-11,4,1,9,9,40.72855555555556,True
2024-07-11_02,2024-07-11,4,2,9,9,40.79238888888889,True
2024-07-11_03,2024-07-11,4,3,9,9,40.79787777777778,True
2024-07-11_04,2024-07-11,4,4,9,9,40.4751,True
2024-07-11_05,2024-07-11,4,5,9,9,40.4656,True
2024-07-11_06,2024-07-11,4,6,9,9,40.23047777777778,True
2024-07-11_07,2024-07-11,4,7,9,9,39.83414444444444,True
2024-07-11_08,2024-07-11,4,8,9,9,39.78094444444444,True
2024-07-11_09,2024-07-11,4,9,9,9,39.5544,True
2024-07-11_10,2024-07-11,4,10,9,9,40.05142222222222,True
2024-07-19_01,2024-07-19,5,1,9,9,40.70607777777778,True
2024-07-19_02,2024-07-19,5,2,9,9,40.205400000000004,True
2024-07-19_03,2024-07-19,5,3,9,9,40.38415555555556,True
2024-07-19_04,2024-07-19,5,4,9,9,39.942588888888885,True
2024-07-19_05,2024-07-19,5,5,9,9,40.14203333333333,True
2024-07-19_06,2024-07-19,5,6,9,9,40.00953333333334,True
2024-07-19_07,2024-07-19,5,7,9,9,39.89673333333334,True
2024-07-19_08,2024-07-19,5,8,9,9,39.853788888888886,True
2024-07-19_09,2024-07-19,5,9,9,9,39.914522222222224,True
2024-07-19_10,2024-07-19,5,10,9,9,39.707411111111114,True
2024-08-01_01,2024-08-01,6,1,9,9,40.30677777777778,True
2024-08-01_02,2024-08-01,6,2,9,9,40.68321111111111,True
2024-08-01_03,2024-08-01,6,3,9,9,40.59878888888889,True
2024-08-01_04,2024-08-01,6,4,9,9,40.43443333333333,True
2024-08-01_05,2024-08-01,6,5,9,9,40.26674444444445,True
2024-08-01_06,2024-08-01,6,6,9,9,39.8479,True
2024-08-01_07,2024-08-01,6,7,9,9,39.75341111111111,True
2024-08-01_08,2024-08-01,6,8,9,9,39.93663333333333,True
2024-08-01_09,2024-08-01,6,9,9,9,39.84343333333334,True
2024-08-01_10,2024-08-01,6,10,9,9,39.803399999999996,True
2024-08-05_01,2024-08-05,7,1,9,9,40.29888888888889,True
2024-08-05_02,2024-08-05,7,2,9,9,40.59385555555556,True
2024-08-05_03,2024-08-05,7,3,9,9,40.25552222222222,True
2024-08-05_04,2024-08-05,7,4,9,9,40.305188888888885,True
2024-08-05_05,2024-08-05,7,5,9,9,40.13579999999999,True
2024-08-21_01,2024-08-21,9,1,9,9,40.72425555555555,True
2024-08-21_02,2024-08-21,9,2,9,9,40.808955555555556,True
2024-08-21_03,2024-08-21,9,3,9,9,40.65893333333333,True
2024-08-21_04,2024-08-21,9,4,9,9,40.47877777777777,True
2024-08-21_05,2024-08-21,9,5,9,9,40.31874444444444,True
2024-08-21_06,2024-08-21,9,6,9,9,39.93371111111111,True
2024-08-21_07,2024-08-21,9,7,9,9,40.092377777777784,True
2024-08-21_08,2024-08-21,9,8,9,9,40.02303333333333,True
2024-08-21_09,2024-08-21,9,9,9,9,40.109288888888884,True
2024-08-21_10,2024-08-21,9,10,9,9,39.95435555555556,True
